Time,ID,z,Measurement,x,y,Ni,Linear Coverage,Abs(zi/z_goal),Ln(Abs(zi/z_goal))
0.0,16,,0.0,-14.0,2.4,,,0.0,-inf
0.0,17,,0.07,3.0,8.8,,,0.14,-0.854
0.0,18,,0.0,6.8,-15.2,,,0.0,-inf
0.0,19,,0.0,3.5,-14.8,,,0.0,-inf
0.0,20,,0.929,-8.9,-10.0,,,1.858,0.269
0.0,21,,0.267,-11.2,-5.3,,,0.534,-0.272
0.0,22,,0.0,17.9,-5.1,,,0.0,-inf
0.0,23,,0.255,-12.6,-14.2,,,0.51,-0.292
0.0,24,,0.0,18.9,18.3,,,0.0,-inf
0.0,25,,0.015,-18.6,-9.4,,,0.03,-1.523
0.1,16,,0.0,-14.0,2.3,0.0,12.0,0.0,-inf
0.1,17,,0.069,3.0,8.8,0.0,12.0,0.138,-0.86
0.1,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
0.1,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
0.1,20,,0.933,-8.9,-10.0,2.0,4.0,1.866,0.271
0.1,21,,0.276,-11.2,-5.3,1.0,6.0,0.552,-0.258
0.1,22,,0.0,18.0,-5.1,0.0,12.0,0.0,-inf
0.1,23,,0.257,-12.6,-14.2,1.0,6.0,0.514,-0.289
0.1,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
0.1,25,,0.015,-18.7,-9.4,0.0,12.0,0.03,-1.523
0.2,16,,0.0,-14.0,2.3,0.0,12.0,0.0,-inf
0.2,17,,0.07,3.0,8.8,0.0,12.0,0.14,-0.854
0.2,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
0.2,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
0.2,20,,0.941,-9.0,-10.0,2.0,4.0,1.882,0.275
0.2,21,,0.287,-11.2,-5.4,1.0,6.0,0.574,-0.241
0.2,22,,0.0,18.0,-5.1,0.0,12.0,0.0,-inf
0.2,23,,0.26,-12.5,-14.2,1.0,6.0,0.52,-0.284
0.2,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
0.2,25,,0.016,-18.6,-9.4,0.0,12.0,0.032,-1.495
0.3,16,,0.0,-14.0,2.3,0.0,12.0,0.0,-inf
0.3,17,,0.07,3.0,8.8,0.0,12.0,0.14,-0.854
0.3,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
0.3,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
0.3,20,,0.948,-9.0,-10.0,2.0,4.0,1.896,0.278
0.3,21,,0.298,-11.1,-5.5,1.0,6.0,0.596,-0.225
0.3,22,,0.0,18.0,-5.2,0.0,12.0,0.0,-inf
0.3,23,,0.265,-12.5,-14.2,1.0,6.0,0.53,-0.276
0.3,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
0.3,25,,0.016,-18.6,-9.4,0.0,12.0,0.032,-1.495
0.4,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
0.4,17,,0.071,3.0,8.8,0.0,12.0,0.142,-0.848
0.4,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
0.4,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
0.4,20,,0.954,-9.1,-10.0,2.0,4.0,1.908,0.281
0.4,21,,0.31,-11.1,-5.5,1.0,6.0,0.62,-0.208
0.4,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
0.4,23,,0.272,-12.5,-14.2,1.0,6.0,0.544,-0.264
0.4,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
0.4,25,,0.016,-18.6,-9.4,0.0,12.0,0.032,-1.495
0.5,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
0.5,17,,0.07,3.0,8.8,0.0,12.0,0.14,-0.854
0.5,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
0.5,19,,0.0,3.4,-14.7,1.0,6.0,0.0,-inf
0.5,20,,0.958,-9.1,-10.0,2.0,4.0,1.916,0.282
0.5,21,,0.318,-11.0,-5.6,1.0,6.0,0.636,-0.197
0.5,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
0.5,23,,0.275,-12.4,-14.2,1.0,6.0,0.55,-0.26
0.5,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
0.5,25,,0.015,-18.7,-9.4,0.0,12.0,0.03,-1.523
0.6,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
0.6,17,,0.069,3.0,8.8,0.0,12.0,0.138,-0.86
0.6,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
0.6,19,,0.0,3.4,-14.7,1.0,6.0,0.0,-inf
0.6,20,,0.962,-9.2,-9.9,2.0,4.0,1.924,0.284
0.6,21,,0.331,-11.0,-5.7,1.0,6.0,0.662,-0.179
0.6,22,,0.0,18.0,-5.2,0.0,12.0,0.0,-inf
0.6,23,,0.282,-12.3,-14.2,1.0,6.0,0.564,-0.249
0.6,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
0.6,25,,0.015,-18.7,-9.4,0.0,12.0,0.03,-1.523
0.7,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
0.7,17,,0.069,3.0,8.8,0.0,12.0,0.138,-0.86
0.7,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
0.7,19,,0.0,3.4,-14.7,1.0,6.0,0.0,-inf
0.7,20,,0.969,-9.2,-9.9,2.0,4.0,1.938,0.287
0.7,21,,0.337,-11.0,-5.7,1.0,6.0,0.674,-0.171
0.7,22,,0.0,18.0,-5.2,0.0,12.0,0.0,-inf
0.7,23,,0.286,-12.3,-14.2,1.0,6.0,0.572,-0.243
0.7,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
0.7,25,,0.016,-18.6,-9.5,0.0,12.0,0.032,-1.495
0.8,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
0.8,17,,0.07,3.0,8.8,0.0,12.0,0.14,-0.854
0.8,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
0.8,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
0.8,20,,0.972,-9.3,-10.0,2.0,4.0,1.944,0.289
0.8,21,,0.35,-11.0,-5.8,1.0,6.0,0.7,-0.155
0.8,22,,0.0,18.0,-5.2,0.0,12.0,0.0,-inf
0.8,23,,0.289,-12.2,-14.2,1.0,6.0,0.578,-0.238
0.8,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
0.8,25,,0.016,-18.6,-9.5,0.0,12.0,0.032,-1.495
0.9,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
0.9,17,,0.07,3.0,8.8,0.0,12.0,0.14,-0.854
0.9,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
0.9,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
0.9,20,,0.974,-9.3,-10.0,2.0,4.0,1.948,0.29
0.9,21,,0.363,-11.0,-5.8,1.0,6.0,0.726,-0.139
0.9,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
0.9,23,,0.295,-12.2,-14.1,1.0,6.0,0.59,-0.229
0.9,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
0.9,25,,0.015,-18.7,-9.5,0.0,12.0,0.03,-1.523
1.0,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
1.0,17,,0.069,3.0,8.8,0.0,12.0,0.138,-0.86
1.0,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
1.0,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
1.0,20,,0.974,-9.3,-10.1,2.0,4.0,1.948,0.29
1.0,21,,0.37,-11.0,-5.9,1.0,6.0,0.74,-0.131
1.0,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
1.0,23,,0.305,-12.1,-14.1,1.0,6.0,0.61,-0.215
1.0,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
1.0,25,,0.015,-18.7,-9.5,0.0,12.0,0.03,-1.523
1.1,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
1.1,17,,0.069,3.0,8.8,0.0,12.0,0.138,-0.86
1.1,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
1.1,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
1.1,20,,0.974,-9.3,-10.1,2.0,4.0,1.948,0.29
1.1,21,,0.376,-11.0,-5.9,1.0,6.0,0.752,-0.124
1.1,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
1.1,23,,0.315,-12.1,-14.1,1.0,6.0,0.63,-0.201
1.1,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
1.1,25,,0.015,-18.7,-9.5,0.0,12.0,0.03,-1.523
1.2,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
1.2,17,,0.068,3.0,8.8,0.0,12.0,0.136,-0.866
1.2,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
1.2,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
1.2,20,,0.972,-9.3,-10.2,2.0,4.0,1.944,0.289
1.2,21,,0.389,-10.9,-6.0,1.0,6.0,0.778,-0.109
1.2,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
1.2,23,,0.325,-12.0,-14.0,1.0,6.0,0.65,-0.187
1.2,24,,0.0,18.9,18.4,0.0,12.0,0.0,-inf
1.2,25,,0.015,-18.7,-9.5,0.0,12.0,0.03,-1.523
1.3,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
1.3,17,,0.068,3.0,8.8,0.0,12.0,0.136,-0.866
1.3,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
1.3,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
1.3,20,,0.973,-9.3,-10.2,2.0,4.0,1.946,0.289
1.3,21,,0.404,-10.9,-6.1,1.0,6.0,0.808,-0.093
1.3,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
1.3,23,,0.328,-12.0,-14.0,1.0,6.0,0.656,-0.183
1.3,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
1.3,25,,0.015,-18.7,-9.5,0.0,12.0,0.03,-1.523
1.4,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
1.4,17,,0.068,3.0,8.8,0.0,12.0,0.136,-0.866
1.4,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
1.4,19,,0.0,3.5,-14.7,1.0,6.0,0.0,-inf
1.4,20,,0.972,-9.3,-10.3,2.0,4.0,1.944,0.289
1.4,21,,0.419,-10.8,-6.1,1.0,6.0,0.838,-0.077
1.4,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
1.4,23,,0.332,-11.9,-14.0,1.0,6.0,0.664,-0.178
1.4,24,,0.0,18.8,18.3,0.0,12.0,0.0,-inf
1.4,25,,0.015,-18.7,-9.5,0.0,12.0,0.03,-1.523
1.5,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
1.5,17,,0.069,3.0,8.8,0.0,12.0,0.138,-0.86
1.5,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
1.5,19,,0.0,3.4,-14.8,1.0,6.0,0.0,-inf
1.5,20,,0.975,-9.4,-10.3,2.0,4.0,1.95,0.29
1.5,21,,0.427,-10.8,-6.2,1.0,6.0,0.854,-0.069
1.5,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
1.5,23,,0.336,-11.9,-14.0,1.0,6.0,0.672,-0.173
1.5,24,,0.0,18.8,18.3,0.0,12.0,0.0,-inf
1.5,25,,0.015,-18.7,-9.5,0.0,12.0,0.03,-1.523
1.6,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
1.6,17,,0.069,3.0,8.8,0.0,12.0,0.138,-0.86
1.6,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
1.6,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
1.6,20,,0.977,-9.4,-10.3,2.0,4.0,1.954,0.291
1.6,21,,0.434,-10.8,-6.2,1.0,6.0,0.868,-0.061
1.6,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
1.6,23,,0.34,-11.9,-14.0,1.0,6.0,0.68,-0.167
1.6,24,,0.0,18.8,18.3,0.0,12.0,0.0,-inf
1.6,25,,0.015,-18.7,-9.5,0.0,12.0,0.03,-1.523
1.7,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
1.7,17,,0.068,3.0,8.8,0.0,12.0,0.136,-0.866
1.7,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
1.7,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
1.7,20,,0.981,-9.5,-10.3,2.0,4.0,1.962,0.293
1.7,21,,0.445,-10.8,-6.3,1.0,6.0,0.89,-0.051
1.7,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
1.7,23,,0.345,-11.8,-14.0,1.0,6.0,0.69,-0.161
1.7,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
1.7,25,,0.015,-18.7,-9.5,0.0,12.0,0.03,-1.523
1.8,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
1.8,17,,0.068,3.0,8.8,0.0,12.0,0.136,-0.866
1.8,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
1.8,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
1.8,20,,0.986,-9.6,-10.2,2.0,4.0,1.972,0.295
1.8,21,,0.461,-10.8,-6.4,1.0,6.0,0.922,-0.035
1.8,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
1.8,23,,0.349,-11.8,-14.0,1.0,6.0,0.698,-0.156
1.8,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
1.8,25,,0.015,-18.7,-9.5,0.0,12.0,0.03,-1.523
1.9,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
1.9,17,,0.068,3.0,8.9,0.0,12.0,0.136,-0.866
1.9,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
1.9,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
1.9,20,,0.989,-9.6,-10.2,2.0,4.0,1.978,0.296
1.9,21,,0.464,-10.8,-6.4,1.0,6.0,0.928,-0.032
1.9,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
1.9,23,,0.359,-11.7,-13.9,1.0,6.0,0.718,-0.144
1.9,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
1.9,25,,0.014,-18.7,-9.5,0.0,12.0,0.028,-1.553
2.0,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
2.0,17,,0.068,3.0,8.9,0.0,12.0,0.136,-0.866
2.0,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
2.0,19,,0.0,3.6,-14.8,1.0,6.0,0.0,-inf
2.0,20,,0.992,-9.7,-10.2,2.0,4.0,1.984,0.298
2.0,21,,0.461,-10.9,-6.4,1.0,6.0,0.922,-0.035
2.0,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
2.0,23,,0.366,-11.7,-13.9,1.0,6.0,0.732,-0.135
2.0,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
2.0,25,,0.014,-18.7,-9.5,0.0,12.0,0.028,-1.553
2.1,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
2.1,17,,0.068,3.0,8.9,0.0,12.0,0.136,-0.866
2.1,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
2.1,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
2.1,20,,0.993,-9.7,-10.1,2.0,4.0,1.986,0.298
2.1,21,,0.454,-10.9,-6.3,1.0,6.0,0.908,-0.042
2.1,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
2.1,23,,0.379,-11.6,-13.9,1.0,6.0,0.758,-0.12
2.1,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
2.1,25,,0.014,-18.8,-9.5,0.0,12.0,0.028,-1.553
2.2,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
2.2,17,,0.068,3.0,8.9,0.0,12.0,0.136,-0.866
2.2,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
2.2,19,,0.0,3.6,-14.8,1.0,6.0,0.0,-inf
2.2,20,,0.996,-9.7,-10.1,2.0,4.0,1.992,0.299
2.2,21,,0.45,-11.0,-6.3,1.0,6.0,0.9,-0.046
2.2,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
2.2,23,,0.391,-11.6,-13.8,1.0,6.0,0.782,-0.107
2.2,24,,0.0,18.8,18.2,0.0,12.0,0.0,-inf
2.2,25,,0.014,-18.8,-9.5,0.0,12.0,0.028,-1.553
2.3,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
2.3,17,,0.067,3.0,8.9,0.0,12.0,0.134,-0.873
2.3,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
2.3,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
2.3,20,,0.997,-9.8,-10.0,2.0,4.0,1.994,0.3
2.3,21,,0.446,-11.0,-6.3,1.0,6.0,0.892,-0.05
2.3,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
2.3,23,,0.401,-11.5,-13.8,1.0,6.0,0.802,-0.096
2.3,24,,0.0,18.9,18.2,0.0,12.0,0.0,-inf
2.3,25,,0.014,-18.7,-9.5,0.0,12.0,0.028,-1.553
2.4,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
2.4,17,,0.067,3.0,8.9,0.0,12.0,0.134,-0.873
2.4,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
2.4,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
2.4,20,,0.998,-9.8,-10.0,2.0,4.0,1.996,0.3
2.4,21,,0.453,-11.0,-6.4,1.0,6.0,0.906,-0.043
2.4,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
2.4,23,,0.416,-11.5,-13.7,1.0,6.0,0.832,-0.08
2.4,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
2.4,25,,0.014,-18.7,-9.5,0.0,12.0,0.028,-1.553
2.5,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
2.5,17,,0.068,3.0,8.9,0.0,12.0,0.136,-0.866
2.5,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
2.5,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
2.5,20,,0.999,-9.9,-10.0,2.0,4.0,1.998,0.301
2.5,21,,0.452,-11.0,-6.4,1.0,6.0,0.904,-0.044
2.5,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
2.5,23,,0.423,-11.4,-13.7,1.0,6.0,0.846,-0.073
2.5,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
2.5,25,,0.014,-18.7,-9.5,0.0,12.0,0.028,-1.553
2.6,16,,0.0,-14.0,2.4,0.0,12.0,0.0,-inf
2.6,17,,0.067,3.0,8.9,0.0,12.0,0.134,-0.873
2.6,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
2.6,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
2.6,20,,0.999,-9.9,-9.9,2.0,4.0,1.998,0.301
2.6,21,,0.439,-11.1,-6.3,1.0,6.0,0.878,-0.057
2.6,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
2.6,23,,0.438,-11.3,-13.6,1.0,6.0,0.876,-0.057
2.6,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
2.6,25,,0.014,-18.7,-9.5,0.0,12.0,0.028,-1.553
2.7,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
2.7,17,,0.068,3.0,8.9,0.0,12.0,0.136,-0.866
2.7,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
2.7,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
2.7,20,,0.999,-9.9,-9.9,2.0,4.0,1.998,0.301
2.7,21,,0.446,-11.1,-6.4,1.0,6.0,0.892,-0.05
2.7,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
2.7,23,,0.447,-11.3,-13.6,1.0,6.0,0.894,-0.049
2.7,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
2.7,25,,0.014,-18.7,-9.5,0.0,12.0,0.028,-1.553
2.8,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
2.8,17,,0.068,3.0,8.9,0.0,12.0,0.136,-0.866
2.8,18,,0.0,7.0,-15.3,1.0,6.0,0.0,-inf
2.8,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
2.8,20,,0.998,-10.0,-9.8,2.0,4.0,1.996,0.3
2.8,21,,0.454,-11.1,-6.4,1.0,6.0,0.908,-0.042
2.8,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
2.8,23,,0.462,-11.2,-13.5,1.0,6.0,0.924,-0.034
2.8,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
2.8,25,,0.014,-18.8,-9.5,0.0,12.0,0.028,-1.553
2.9,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
2.9,17,,0.069,3.0,8.9,0.0,12.0,0.138,-0.86
2.9,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
2.9,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
2.9,20,,0.999,-10.1,-9.9,2.0,4.0,1.998,0.301
2.9,21,,0.458,-11.1,-6.4,1.0,6.0,0.916,-0.038
2.9,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
2.9,23,,0.466,-11.2,-13.5,1.0,6.0,0.932,-0.031
2.9,24,,0.0,18.9,18.3,0.0,12.0,0.0,-inf
2.9,25,,0.014,-18.8,-9.5,0.0,12.0,0.028,-1.553
3.0,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
3.0,17,,0.069,3.0,8.9,0.0,12.0,0.138,-0.86
3.0,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
3.0,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
3.0,20,,0.998,-10.1,-9.9,2.0,4.0,1.996,0.3
3.0,21,,0.446,-11.1,-6.4,1.0,6.0,0.892,-0.05
3.0,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
3.0,23,,0.454,-11.3,-13.6,1.0,6.0,0.908,-0.042
3.0,24,,0.0,19.0,18.3,0.0,12.0,0.0,-inf
3.0,25,,0.014,-18.8,-9.5,0.0,12.0,0.028,-1.553
3.1,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
3.1,17,,0.07,3.0,9.0,0.0,12.0,0.14,-0.854
3.1,18,,0.0,7.0,-15.2,1.0,6.0,0.0,-inf
3.1,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
3.1,20,,0.998,-10.2,-9.9,2.0,4.0,1.996,0.3
3.1,21,,0.452,-11.2,-6.4,1.0,6.0,0.904,-0.044
3.1,22,,0.0,17.9,-5.1,0.0,12.0,0.0,-inf
3.1,23,,0.442,-11.3,-13.6,1.0,6.0,0.884,-0.054
3.1,24,,0.0,19.0,18.3,0.0,12.0,0.0,-inf
3.1,25,,0.013,-18.8,-9.5,0.0,12.0,0.026,-1.585
3.2,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
3.2,17,,0.071,3.0,9.0,0.0,12.0,0.142,-0.848
3.2,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
3.2,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
3.2,20,,0.996,-10.2,-9.8,2.0,4.0,1.992,0.299
3.2,21,,0.456,-11.1,-6.4,1.0,6.0,0.912,-0.04
3.2,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
3.2,23,,0.438,-11.3,-13.6,1.0,6.0,0.876,-0.057
3.2,24,,0.0,19.0,18.3,0.0,12.0,0.0,-inf
3.2,25,,0.014,-18.8,-9.4,0.0,12.0,0.028,-1.553
3.3,16,,0.0,-14.1,2.4,0.0,12.0,0.0,-inf
3.3,17,,0.071,3.1,9.0,0.0,12.0,0.142,-0.848
3.3,18,,0.0,6.9,-15.2,1.0,6.0,0.0,-inf
3.3,19,,0.0,3.5,-14.8,1.0,6.0,0.0,-inf
3.3,20,,0.996,-10.2,-9.8,2.0,4.0,1.992,0.299
3.3,21,,0.445,-11.2,-6.4,1.0,6.0,0.89,-0.051
3.3,22,,0.0,17.9,-5.2,0.0,12.0,0.0,-inf
3.3,23,,0.446,-11.2,-13.6,1.0,6.0,0.892,-0.05
3.3,24,,0.0,19.0,18.3,0.0,12.0,0.0,-inf
3.3,25,,0.014,-18.8,-9.4,0.0,12.0,0.028,-1.553
3.4,16,,0.0,-14.0,2.3,0.0,12.0,0.0,-inf
